Название,Вымышленный автор,Автор,Редкость,Тип,Архетип,Общение,Интеллект,Самоотверженность,Здоровье,Способности,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,URL в игре,Текст
Фантом-помощник,нет,Александр и Елена,эпический спутник,стихийные существа,маг,жестовое,инстинкты,доблестный,400,"прилив сил,бодрость духа,связной,вьючный,телохранитель",энергия,тело: светится,2 ноги,гуманоидное,средний,вертикальное,касание энергетическое (урон: энергетический; материал: экзотика; тип силы: магическая),https://the-tale.org/guide/companions/48,"
> Прекрасный спутник для любого странствующего героя – посланный Хранителем фантом-помощник, объёмная белая тень хозяина. Он ценится не столь, как тягловая сила при переноске грузов, сколько за возможность духовной связи с Хранителем и за энергетическую подпитку в бою.

"
Майконг,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,нерешительный,400,"себе на уме,боец,едок,самостоятельный,острый глаз",живая плоть,"шерсть: короткая,хвост",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике),https://the-tale.org/guide/companions/9,"
> Орки утверждают, что это лиса, некоторые учёные твердят, что майконги – собаки. Как бы там ни было, жители пустынь давно пытаются воспитывать и дрессировать этих животных. Но пока это далеко не всегда удаётся . И всё же многие хотят иметь не просто собаку, а что-нибудь экзотичное, и храбрые, пусть и диковатые, майконги пользуются определённой популярностью.

"
Одноглазый калека,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,нерешительный,300,"торгаш,едок,трусливый,пьяница,вьючный,хам,поклонник",живая плоть,"глаза: один,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: неизвестен; тип силы: физическая),https://the-tale.org/guide/companions/73,"
> В этом суровом мире многим приходится познать боль и страдания. В Пандоре нередко можно встретить калек, пытающихся выжить, найти лучшую участь, новый дом. Иногда они просят героев взять их с собой, потому и нет ничего странного в том, что встречаются порой ходоки в компании, например, одноглазого калеки.

"
Чёрная кошка,нет,Александр и Елена,редкий спутник,животные,авантюрист,жестовое,инстинкты,нерешительный,300,"упрямый,стремительный,едок,трусливый,очаровательный,острый глаз,связной,самостоятельный",живая плоть,"худой,шерсть: короткая,хвост",4 лапы,кошачье,крохотный,горизонтальное,когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике),https://the-tale.org/guide/companions/7,"
> Чёрным кошкам все расы во все времена приписывают необычные свойства. Ничего удивительного, в них и правда есть что-то мистическое. Стоит заглянуть в опаловые глаза, и становится ясно: они видят то, что нам не дано узреть никогда. Когда ты смотришь на чёрную кошку, знай – ей известно большее, гораздо большее, нежели нам.

"
Лохматый пёс,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,смелый,300,"себе на уме,миролюбивый,ленивый,самостоятельный,трусливый,едок,боец,острый глаз",живая плоть,"хвост,шерсть: средней длины",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике),https://the-tale.org/guide/companions/10,"
> Беспородные собаки есть в каждой деревне, кроме эльфийской, разумеется. Умные, преданные, отлично дрессируемые собаки навсегда останутся лучшими друзьями и дома, и в путешествии.

"
Нищий философ,нет,Александр и Елена,обычный спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,нерешительный,300,"себе на уме,сдержанный,пьяница,мудрый,едок,неповоротливый,грабитель,вьючный",живая плоть,"худой,торс: хилый,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: равновесие),https://the-tale.org/guide/companions/43,"
> Хороший алхимик или врач всегда найдут подходящую работу, но философы никому не нужны. Мир суров, его жители вынужденны бороться то за урожай, то за жизнь, то с засухой, то с наводнением, им не до рассуждений о гуманизме и смыслах бытия. Вот и бродят порой по Пандоре или попрошайничают в городах нищие философы, разочарованные в жизни, без семьи и веры в справедливость.

"
Траппер,нет,Александр и Елена,необычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,смелый,500,"исполнительный,агрессивный,камуфляж,охотник,боец,острый глаз,нелюдимый,вьючный",живая плоть,одежда: шкуры,2 ноги,гуманоидное,средний,вертикальное,лук (урон: стрелковый колющий; материал: дерево; тип силы: физическая),https://the-tale.org/guide/companions/84,"
> Довольно часто на дорогах Пандоры можно повстречать трапперов, профессиональных охотников, живущих добычей меха и не любящих шум и пыль городов. Трапперы порой кооперируются с героями, помогая им в поиске добычи. Герои, в свою очередь, помогают своим спутникам попасть в такие глухие места, куда в одиночку не пройдёт ни один охотник.

"
Огненная игуана,нет,Александр и Елена,обычный спутник,хладнокровные гады,маг,жестовое,рефлексы,храбрый,300,"временный,поджигатель,едок",живая плоть,"глаза: красные,глаза: светятся,хвост",4 лапы,ящериное,крохотный,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к магии),https://the-tale.org/guide/companions/117,"
> Крупная ящерица размером с небольшую собаку. Огненные игуаны не опасны ничем, кроме огненного дыхания, которым взрослые особи способны испепелить противника. Эти рептилии выращиваются в специальных магических питомниках из добытых в пустыне яиц игуан и по праву считаются весьма доступными и полезными спутниками для героев-бродяг.

"
Мошенник,нет,Александр и Елена,необычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,нерешительный,300,"подлый,грабитель,едок,карманник,торгаш,боец,вьючный",живая плоть,"одежда: хорошо,торс: хилый",2 ноги,гуманоидное,средний,вертикальное,кинжал (урон: колющий / режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/144,"
> Много бродит по миру всевозможных мошенников, живущих обманом. Некоторые из них имеют хорошие отношения с ходоками, странствующими по всем дорогам Пандоры. Когда герой проходит через городские ворота, мало кто присматривается к его спутнику…

"
Астральное отражение,нет,Александр и Елена,легендарный спутник,стихийные существа,маг,жестовое,рефлексы,доблестный,700,"исполнительный,боец,страшный,связной,громила",энергия,"глаза: светятся,тело: светится,глаза: белые",2 ноги,гуманоидное,средний,вертикальное,касание энергетическое (урон: энергетический; материал: экзотика; тип силы: магическая),https://the-tale.org/guide/companions/52,"
> Это случается очень редко: Духи-хранители посылают героям в помощь их астральное отражение. Такой спутник выглядит как состоящая из плотного тумана точная копия хозяина, цвета одежды у него блеклые, будто выгоревшие. Существо отлично помогает в бою, но из-за своей внешности и странной чуждой ауры, ощутимой вблизи, может создавать хозяину проблемы в общении с окружающими.

"
Слуга,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,нерешительный,300,"едок,неповоротливый,вьючный,боец",живая плоть,худой,2 ноги,гуманоидное,средний,вертикальное,дубина (урон: ударный; материал: дерево; тип силы: физическая),https://the-tale.org/guide/companions/105,"
> Если есть спрос, то будет и предложение. Всегда кто-то готов платить за помощь: отнести, постирать, приготовить, сходить, узнать и прочее. Этим всюду занимаются слуги, если, конечно, у господина есть на то деньги. Ведь слуг тоже нужно одевать, кормить, лечить и так далее. Есть слуги обученные, дорогие, которым доверяют работу ответственную, например следить за почтой в личном кабинете или за платьями в гардеробе. А есть неграмотные, простые, которых ещё в детстве забрали из глухой деревни. Герои же, не имея кабинетов, предпочитают последних, были бы они честны и верны хозяину.

"
Рысь-ядомор,нет,Александр и Елена,обычный спутник,конструкты,авантюрист,жестовое,рефлексы,храбрый,300,"дорогой,запчасти,отравитель,боец,таран",металл,хвост,4 лапы,кошачье,маленький,горизонтальное,"когти (урон: рвущий; материал: металл; тип силы: равновесие),клыки (урон: кусательный; материал: металл; тип силы: ближе к физике)",https://the-tale.org/guide/companions/19,"
> Весьма интересный механический помощник. Конструкт создаётся с использованием дорогостоящей магии, которая делает когти стальной рыси отравленными. Очень популярен у героев и прочих искателей приключений. Немаловажно, что в случае его поломки всегда можно выгодно продать запчасти.

"
Ворон,нет,Александр и Елена,необычный спутник,животные,авантюрист,жестовое,низкий,нерешительный,400,"себе на уме,сдержанный,ленивый,мудрый,едок,летающий,острый глаз",живая плоть,крылья: пернатые,парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: равновесие),https://the-tale.org/guide/companions/64,"
> Легендарная птица Пандоры. Ворон обитает повсеместно, но его весьма сложно повстречать, ибо он сторонится цивилизации, предпочитая уединение. Это, без сомнения, самая удивительная из птиц. Вороны умеют говорить, и они мудры. Благодаря тому, что эти крупные пернатые живут сотни лет, они порой способны научить кое-чему и хозяина.

"
Шипованный венгис,нет,Александр и Елена,необычный спутник,конструкты,воин,жестовое,рефлексы,храбрый,700,"терзатель,громила,шумный,таран,боец",металл,толстый,перекатывается,сферическое,маленький,горизонтальное,шипы (урон: рвущий / колющий; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/171,"
> Венгис – редкое растение с шарообразным бутоном крупного цветка. Именно в его честь назван один из самых смертоносных боевых конструктов – шипованный венгис. Хитро устроенный магомеханизм имеет форму шара, диаметр которого достигает среднего роста гоблина. Он склепан из толстой листовой бронзы и покрыт шипами. В бою такой конструкт, катаясь вокруг хозяина, способен нанести врагу очень серьёзные повреждения.

"
Бестелесный слуга,нет,Александр и Елена,необычный спутник,стихийные существа,маг,жестовое,инстинкты,смелый,500,"грузовой,острый глаз",энергия,тело: светится,2 ноги,гуманоидное,средний,вертикальное,касание энергетическое (урон: энергетический; материал: экзотика; тип силы: магическая),https://the-tale.org/guide/companions/53,"
> Посредством несложной магии возможно создать почти невидимого слугу. Такой фантом, сотканный из волшебных энергий и не имеющий тела, не способен выполнять сложные приказы, но вполне годен для переноса багажа.

"
Лоскутик,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,доблестный,300,"мороз по коже,неповоротливый,вьючный,боец,нелюдимый",мёртвая плоть,уродливый,2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: экзотика; тип силы: ближе к физике),https://the-tale.org/guide/companions/76,"
> Куда более простой в создании, чем многие другие конструкты, голем из плоти внешне напоминает нежить, что не удивительно, если учесть материалы, из которых он делается. Этот конструкт собран, вернее, сшит, из разных частей нескольких свежих трупов как разумных существ, так и всевозможных животных. Выглядит такой голем отталкивающе, среди авантюристов он получил прозвище “лоскутик”... К сожалению многих владельцев, в города, как правило, с лоскутиками не пускают.

"
Пращник,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,храбрый,400,"агрессивный,боец,едок,вьючный",живая плоть,одежда: плохо,2 ноги,гуманоидное,средний,вертикальное,"праща (урон: стрелковый ударный; материал: кожа; тип силы: физическая),кинжал (урон: колющий / режущий; материал: металл; тип силы: ближе к физике)",https://the-tale.org/guide/companions/71,"
> Праща – оружие не слишком-то серьёзное и встречается редко, тем не менее некоторые наёмники пользуются ими весьма успешно. Особенно действенной бывает праща при нападении чудовища большого размера: мощный удар издалека позволит оглушить противника и поможет спутнику в ближнем бою прикончить врага. Пожалуй, главным достоинством этого нехитрого приспособления для убийства является то, что снаряды буквально валяются под ногами.

"
Пегая кляча,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,смелый,300,"миролюбивый,ездовой,не жилец,ленивый,едок,вьючный,самостоятельный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/38,"
> В мире много лошадей, дорогих и не очень, скаковых и упряжных, но есть и такие, которые всем знакомы, их не спутаешь ни с какой другой. Самая обычная лошадь, имеющаяся в любом поселении – это пегая кляча. У этого животного всего понемногу и всё в меру: стать, выносливость, престиж и… цена.

"
Пони,нет,Александр и Елена,обычный спутник,животные,воин,жестовое,инстинкты,нерешительный,400,"миролюбивый,милый,едок,неповоротливый,ездовой,ленивый,вьючный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,средний,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/65,"
> Пони – милые лошадки самых разных мастей, встречающиеся по всему миру. Миролюбивый нрав этих животных обеспечил им добрую славу, а их пугливость вызывает умиление. Из-за своего невысокого роста пони особенно востребованы в поселениях гоблинов и дварфов.

"
Сиротка,нет,Александр и Елена,обычный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,нерешительный,300,"себе на уме,сдержанный,прожорливый,карманник,грабитель,временный,трусливый",живая плоть,"худой,торс: хилый,одежда: плохо",2 ноги,гуманоидное,маленький,вертикальное,палка (урон: ударный; материал: дерево; тип силы: ближе к физике),https://the-tale.org/guide/companions/83,"
> Мир жесток. Войны, эпидемии, стихийные бедствия рождают всё больше новых сирот. Эти малютки выживают, как умеют, мечтая о лучшей жизни. Всем известно, что хорошо там, где нас нет, и бедные сиротки мечтают туда попасть. Они просят героев взять их с собой, проводить в какой-нибудь город, готовые помогать всем, чем могут. Правда, умеют они совсем немногое...

"
Наёмный охранник,нет,Александр и Елена,редкий спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,храбрый,600,"миролюбивый,телохранитель,боец,прожорливый,острый глаз,лекарь",живая плоть,"торс: мощный,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,сабля (урон: режущий / рубящий; материал: металл; тип силы: ближе к физике),https://the-tale.org/guide/companions/89,"
> Не так уж и много в мире профессий за которые можно получить большие деньги. Частная охрана – дело прибыльное, и надобно заметить, на то есть все основания. Наёмники, рискующие здоровьем и самой жизнью, готовы от атаки врага закрыть господина своим телом только за приличную сумму.

"
Сивка-бурка,нет,Александр и Елена,редкий спутник,стихийные существа,авантюрист,жестовое,инстинкты,смелый,700,"исполнительный,едок,связной,быстроногий,острый глаз,нелюдимый",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/55,"
> Этот волшебный конь не зря стал персонажем многих сказок и легенд Пандоры. Сивка-бурка, или вождь коней, как его зовут орки, крайне редко показывается на глаза, но неизменно с его появлением рождается новая история. Быстрый, словно ветер, длинноногий, с волнистой гривой до земли скакун очаровывает своей статью. Он исчезает столь же внезапно, как и приходит, и никто не знает куда. Природа его мало изучена, и потому сивка-бурка остаётся одной из самых больших мировых загадок.

"
Разваливающийся голем,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,нерешительный,300,"строптивый,терзатель,не жилец,сложный,боец,вьючный",камень,торс: мощный,2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: камень; тип силы: физическая),https://the-tale.org/guide/companions/107,"
> Старые, искорёженные, разваливающиеся на ходу, своё уже отслужившие механизмы в умелых руках способны совершить “последний рывок”. Металлические, каменные и даже редкие глиняные големы могут принести пользу герою-ходоку, если, конечно же, последний не ленив и готов тратить время и деньги на постоянные ремонты.

"
Менестрель,нет,Александр и Елена,обычный спутник,разумные двуногие,авантюрист,"вербальное,жестовое",нормальный,нерешительный,300,"исполнительный,себе на уме,миролюбивый,едок,известный,очаровательный,нелюдимый,трусливый",живая плоть,одежда: плохо,2 ноги,гуманоидное,средний,вертикальное,нож (урон: колющий / режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/80,"
> Менестрели – отдельная каста в Пандоре. Гуляки и весельчаки, распевающие баллады на городских площадях и в тавернах, всегда найдут кров и пропитание. Их принимают в любой компании, им всегда дарят подарки и у них везде находятся знакомые. Конечно же, менестрели предпочитают путешествовать с теми, кто защитит их от многочисленных чудовищ и бандитов, взамен оказывая посильную помощь и развлекая на привалах. Но стоит помнить, что вряд ли поэты захотят странствовать подолгу. Обычно они остаются в городах, выступают там, зарабатывают деньги, и вновь отправляются в путь, когда репертуар начинает надоедать горожанам, и как следствие, популярность самих менестрелей – падать.

"
Белый медведь,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,смелый,700,"терзатель,боец,прожорливый,страшный,пожиратель,громила,самостоятельный,таран",живая плоть,"торс: мощный,глаза: голубые,зубы: клыки,шерсть: средней длины",4 лапы,медвежье,большой,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: физическая),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/34,"
> Один из самых редких медведей, как живых, так и механических. Этот огромный зверь обитает на далёком севере, повстречать его крайне сложно. Белый медведь – страшный и могучий хищник, умный, выносливый и неприхотливый. Тот, кто сумеет с ним подружиться, получит непревзойдённого помощника.

"
Клёпаная свинка,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,нерешительный,600,"исполнительный,медлительный,грузовой,неповоротливый,шумный,таран",металл,толстый,4 копыта,свиноподобное,маленький,горизонтальное,копыто (урон: ударный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/54,"
> Впервые такой конструкт был создан для развлечения дочери богатого аристократа. Будучи размером с обычную свинью, украшенную красивыми заклёпками, механизм имеет на спине крышку, подобную крышке сундука. Внутри конструкта довольно много свободного места. Девушка хранила в свинке своих кукол, которых та приносила по приказу хозяйки. Давно уж нет ни тех кукол, ни той аристократической фамилии, а эти забавные конструкты ещё встречаются. Единственное новшество, которым обзавелась магомеханическая свинья – магический замок на крышке, для пущей сохранности имущества. Но по традиции даже заклёпки неизменно делаются в виде цветочков, а копытца свинки при беге издают мелодичный звон.

"
Осьмиход,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,храбрый,300,"дорогой,быстроногий,сложный,отравитель",металл,худой,8 лап,паучье,средний,горизонтальное,жвалы (урон: кусательный; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/92,"
> Долгие годы наблюдений за повадками насекомых позволили магомеханикам создать уникальный конструкт – осьмиход. Этот гигантский паук из лёгких металлических сплавов незаменим в путешествиях: он развивает приличную скорость, удобен для ездока и, самое замечательное, в случае нападения может атаковать врага ядовитыми жвалами. Единственный минус конструкта – необходимость частых ремонтов. Да и цена, как говорится, кусается.

"
Керамический голем,нет,Александр и Елена,обычный спутник,конструкты,воин,жестовое,рефлексы,храбрый,400,"медлительный,вьючный,боец",глина,торс: мощный,2 ноги,гуманоидное,средний,вертикальное,кулак (урон: ударный; материал: камень; тип силы: физическая),https://the-tale.org/guide/companions/108,"
> Голем из глины, или так называемый керамический голем – один из самых бесполезных големов, да и конструктов вообще. На заре развития магомеханики именно глиняные големы были первыми образцами, созданными в секретных лабораториях по заказам воинствующих политиков. Прошло много лет, но наука почти не продвинулась в развитии керамических конструктов. Они так и остались хрупкими, часто ломающимися, неуклюжими и почти бесполезными в бою. Единственная ценность таких големов – их грузоподъёмность, но и она не компенсируется высокой себестоимостью.

"
Гриф,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,храбрый,300,"острый глаз,едок,летающий,пожиратель,самостоятельный",живая плоть,"крылья: пернатые,запах: падаль",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: ближе к физике),https://the-tale.org/guide/companions/111,"
> Птица, которую можно встретить в любом месте Пандоры. Гриф, хоть и выглядит отталкивающе из-за своей лишённой перьев шеи, никого не может испугать. Это абсолютно неагрессивное существо может заставить волноваться только тогда, когда часами кружит над тобой, раненым или больным, не способным встать.

"
Ручная крыса,нет,Александр и Елена,обычный спутник,животные,авантюрист,жестовое,инстинкты,нерешительный,300,"не жилец,милый,самостоятельный,едок,карманник",живая плоть,"шерсть: короткая,хвост",4 лапы,крысиное,крохотный,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),https://the-tale.org/guide/companions/90,"
> Эти умные зверьки прекрасно дрессируются и способны показывать всякие трюки. Путешественников, конечно, подобные забавы не интересуют, а вот крысы, обученные находить монетки и приносить их хозяину, весьма популярны.

"
Целительница,нет,Александр и Елена,легендарный спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,нерешительный,300,"миролюбивый,лекарь,едок,связной,экзорцист,морозко,сан",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,серп (урон: режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/155,"
> Сведущие в лечебных травах и мелких лекарских заклятьях целительницы имеют большой авторитет среди жителей деревень и, особенно, отдалённых от городов. В отличие от знахарок эти женщины не занимаются врачеванием домашнего скота, успешно специализируясь на разумных. Некоторые способны совладать даже с самыми тяжёлыми ранами и болезнями. Известны случаи, когда больные, «приговорённые к смерти» городскими лекарями, возвращались к жизни благодаря искусству целительниц.

"
Иноходец,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,храбрый,500,"исполнительный,едок,быстроногий,вьючный",живая плоть,"шерсть: короткая,грива",4 копыта,лошадиное,большой,горизонтальное,копыто (урон: ударный; материал: роговое образование; тип силы: физическая),https://the-tale.org/guide/companions/145,"
> Иноходцы могут быть любой масти и породы. Но что для наездника может сравниться с их плавным ходом и мягким, расслабляющим покачиванием в седле? Не зря в конюшнях правителей, советников и богатых торговцев господствуют иноходцы, и не зря заводчики просят за них огромных денег. Иногда на иноходце можно встретить бывалого героя, ибо только опытные ходоки могут позволить себе такую роскошь.

"
Сип,нет,Александр и Елена,редкий спутник,животные,воин,жестовое,инстинкты,нерешительный,300,"острый глаз,едок,летающий,самостоятельный,пожиратель",живая плоть,"худой,запах: падаль,крылья: пернатые",парит над землёй,птичье,крохотный,горизонтальное,клюв (урон: ударный / рвущий; материал: роговое образование; тип силы: ближе к физике),https://the-tale.org/guide/companions/112,"
> Тот, кто не является специалистом, легко перепутает эту птицу с грифом. Внешне они очень похожи, да и повадки мало чем отличаются. Сипы встречаются чуть реже, но лучше приручаются. Хорошее зрение – главная их ценность: сипы в естественной среде разыскивают падаль с невероятной высоты, а их дрессированные собратья также успешно высматривают врагов на пути хозяина.

"
Третий глаз,нет,Александр и Елена,обычный спутник,стихийные существа,маг,жестовое,рефлексы,храбрый,300,"исполнительный,временный,острый глаз",энергия,тело: светится,парит над землёй,сферическое,крохотный,горизонтальное,касание энергетическое (урон: энергетический; материал: неизвестен; тип силы: магическая),https://the-tale.org/guide/companions/78,"
> Один из самых распространённых магических помощников – третий глаз. Создать его несложно, но необходимо точное сочетание многих условий: определённая фаза луны, расположение звёзд и психосоматическое состояние заклинателя. Если всё соблюдено, то даже самый посредственный маг получает в спутники летающее недолговечное полупрозрачное око размером с детский кулак. Третий глаз, управляемый мыслями хозяина, прекрасно наблюдает за дорогой, что позволяет заранее узнать об опасности.

"
Ведьма,нет,Александр и Елена,редкий спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,храбрый,400,"агрессивный,острый глаз,едок,отравитель,лекарь",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,нож (урон: колющий / режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/151,"
> По старой традиции во многих поселениях принято списывать всевозможные беды и несчастья на колдовство ведьм. Безусловно, мелкие проклятья – это их стихия. Тем не менее, в абсолютном большинстве случаев ведьмы не имеют ни малейшего отношения к болезням скота, увечьям новорожденных и пристрастию мужчин к спиртному. Более того, ведьмы, будучи умными женщинами, зачастую помогают тем, с кем рядом живут. Они, бормоча стихотворные формулы, принимают роды, лечат детей, снимают порчи, иногда вызывают дожди над засеянными полями.

"
